Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_362,0.716,0.91017,0.77118,0.6356,0.95457,0.78588,0.99939,0.99742,0.9983,4.58258,4.47214,12.68858
BraTS20_Training_363,0.70696,0.9083,0.87227,0.57144,0.96792,0.81628,0.99976,0.99777,0.99956,3.74166,5.0,5.38516
BraTS20_Training_364,0.73546,0.8133,0.86172,0.70981,0.76685,0.83482,0.99924,0.99868,0.99942,4.12311,5.74456,4.3589
BraTS20_Training_365,0.76382,0.90012,0.86321,0.71115,0.88292,0.85304,0.99946,0.99867,0.99911,3.60555,42.11829,9.48683
BraTS20_Training_366,0.75618,0.85796,0.8076,0.70487,0.9125,0.7737,0.99965,0.99888,0.99962,4.12311,5.47723,5.09902
BraTS20_Training_367,0.79487,0.8841,0.60186,0.71228,0.85254,0.71072,0.99982,0.99891,0.99843,4.12311,6.40312,14.59452
BraTS20_Training_368,0.83173,0.84077,0.663,0.82225,0.8365,0.83518,0.99971,0.99855,0.99862,3.74166,54.57106,12.24745
BraTS20_Training_369,0.81658,0.8845,0.88154,0.77428,0.84294,0.86892,0.99941,0.99837,0.99927,2.44949,5.0,6.0
Mean,0.61313,0.81364,0.68336,0.63823,0.8334,0.73438,0.99947,0.99826,0.99896,34.88344,17.75722,18.72055
StdDev,0.2537,0.12823,0.21763,0.28967,0.16545,0.25054,0.00052,0.00129,0.00117,90.8749,19.64714,19.60315
Median,0.69907,0.85351,0.75798,0.71853,0.88292,0.82211,0.99962,0.99843,0.99937,4.89898,7.54983,11.0
25quantile,0.52935,0.7734,0.59661,0.48895,0.78882,0.62659,0.99926,0.99769,0.99861,3.16228,4.47214,6.0
75quantile,0.78024,0.89532,0.84051,0.86466,0.94649,0.91344,0.99986,0.99922,0.99974,13.36599,25.7682,22.60309
