Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_261,0.61406,0.93765,0.76372,0.67002,0.95681,0.71586,0.99945,0.9976,0.99819,6.40312,3.60555,6.0
BraTS20_Training_262,0.0,0.80674,0.05547,0.0,0.79962,0.03278,0.99999,0.99868,0.99991,373.12866,7.07107,12.24745
BraTS20_Training_263,0.0,0.62414,0.5358,0.0,0.73236,0.77557,0.99952,0.9979,0.99944,373.12866,7.61577,11.22497
BraTS20_Training_264,0.0,0.363,0.3729,0.0,0.73884,0.2422,0.99999,0.99329,0.99989,373.12866,66.08101,9.8995
BraTS20_Training_265,0.0,0.65744,0.7535,0.0,0.6523,0.63943,0.99987,0.99769,0.99972,373.12866,9.0,6.0
BraTS20_Training_266,0.0,0.87126,0.55791,0.0,0.84094,0.42114,0.99937,0.99946,0.99971,373.12866,32.15042,10.48809
BraTS20_Training_267,0.77503,0.72512,0.32359,0.88223,0.59892,0.19491,0.99977,0.99952,0.99994,13.96424,82.18881,15.68439
BraTS20_Training_268,0.0,0.50225,0.34146,0.0,0.37491,0.2087,0.99999,0.99975,0.99999,373.12866,79.42921,14.96663
BraTS20_Training_269,0.0,0.83362,0.58677,0.0,0.87934,0.46111,0.99959,0.99908,0.99975,373.12866,5.38516,7.2111
BraTS20_Training_270,0.88082,0.87482,0.91158,0.92633,0.86168,0.95749,0.9988,0.99817,0.9989,3.74166,4.24264,3.16228
BraTS20_Training_271,0.04804,0.86207,0.3644,0.93304,0.912,0.3009,0.99907,0.99882,0.99908,40.80931,9.27362,10.04988
BraTS20_Training_272,0.0,0.92863,0.76336,0.0,0.92964,0.72813,0.99957,0.99838,0.99842,373.12866,3.4641,6.78233
BraTS20_Training_273,0.34445,0.80949,0.57762,0.92712,0.71823,0.42431,0.99951,0.99851,0.99943,41.22498,9.8995,27.96426
BraTS20_Training_274,0.60519,0.72772,0.52863,0.4676,0.57979,0.3593,0.99921,0.9997,1.0,8.24621,12.84523,16.03122
BraTS20_Training_275,0.0,0.2129,0.00617,0.0,0.11986,0.0036,0.9998,0.99998,0.99981,373.12866,16.76305,22.67157
BraTS20_Training_276,0.56903,0.83153,0.71999,0.93553,0.8008,0.89107,0.99961,0.9992,0.99973,12.84523,5.91608,12.08305
BraTS20_Training_277,0.25994,0.44282,0.39094,0.61654,0.36401,0.64807,0.99949,0.99905,0.99946,106.46854,101.21265,106.16096
BraTS20_Training_278,0.0,0.81062,0.32402,0.0,0.78125,0.22363,0.99792,0.99821,0.99895,373.12866,6.7082,18.1934
BraTS20_Training_279,0.0,0.74627,0.66415,0.0,0.6172,0.53996,0.99826,0.99932,0.99868,373.12866,12.52996,14.96663
BraTS20_Training_280,0.09665,0.90058,0.07502,0.58177,0.90104,0.51332,0.99919,0.99956,0.99887,26.24881,3.74166,23.01304
BraTS20_Training_281,0.0,0.8647,0.1802,0.0,0.81472,0.21892,0.99684,0.99886,0.99704,373.12866,5.38516,26.40265
BraTS20_Training_282,0.49097,0.88729,0.59329,0.91102,0.9623,0.88818,0.99866,0.99801,0.99844,14.3527,5.91608,11.74734
BraTS20_Training_283,0.69219,0.90132,0.69383,0.58262,0.90695,0.60571,0.99987,0.99945,0.99982,5.38516,3.0,5.47723
BraTS20_Training_284,0.49932,0.85085,0.79184,0.56794,0.75671,0.66236,0.99972,0.9995,0.99983,20.22993,7.81025,9.43398
BraTS20_Training_285,0.47963,0.70589,0.64041,0.75529,0.58407,0.51345,0.99881,0.99909,0.99916,24.0645,11.74734,14.62874
BraTS20_Training_286,0.0,0.54781,0.13748,0.0,0.41985,0.07698,0.99984,0.9997,0.9999,373.12866,7.81025,14.89966
BraTS20_Training_287,0.89324,0.88051,0.8954,0.87742,0.89384,0.86165,0.99973,0.99925,0.99979,2.82843,3.60555,3.0
BraTS20_Training_288,0.77747,0.73005,0.81543,0.77,0.60638,0.78214,0.99957,0.99952,0.99943,2.23607,7.48331,5.83095
BraTS20_Training_289,0.0,0.92361,0.59148,0.0,0.95295,0.78842,0.99814,0.99758,0.99583,373.12866,4.12311,14.14214
BraTS20_Training_290,0.3477,0.85442,0.43874,0.97381,0.75848,0.93419,0.99834,0.99957,0.99835,29.01982,8.30662,29.22328
BraTS20_Training_291,0.00402,0.94315,0.67661,0.18254,0.91488,0.74051,0.99873,0.99937,0.9971,36.41428,3.31662,8.60232
BraTS20_Training_292,0.47918,0.63841,0.51644,0.71507,0.47906,0.3849,0.99946,0.99981,0.99936,9.0,8.83176,13.34166
BraTS20_Training_293,0.7461,0.66766,0.52536,0.79247,0.52679,0.45098,0.99853,0.99823,0.9964,13.34166,10.48809,18.05547
BraTS20_Training_294,0.0,0.79785,0.55192,0.0,0.71492,0.43472,0.99982,0.99928,0.99943,373.12866,6.16441,10.63015
BraTS20_Training_295,0.0,0.62647,0.00629,0.0,0.49172,0.00316,1.0,0.99978,1.0,81.31051,8.48528,22.9913
BraTS20_Training_296,0.69438,0.94234,0.59481,0.73801,0.93666,0.42387,0.99925,0.99905,0.99999,3.16228,3.16228,10.81665
