Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_343,0.91434,0.94853,0.95967,0.97597,0.95202,0.97168,0.99941,0.99901,0.99963,1.41421,2.82843,1.41421
BraTS20_Training_344,0.77546,0.92346,0.91578,0.68124,0.97744,0.8971,0.99992,0.99875,0.99986,2.82843,4.0,2.23607
BraTS20_Training_345,0.89334,0.9142,0.89015,0.8901,0.95685,0.89109,0.99993,0.99852,0.99992,4.12311,2.0,4.0
BraTS20_Training_346,0.92653,0.96385,0.97757,0.89001,0.94692,0.96583,0.9999,0.99984,0.99992,1.0,1.41421,1.0
BraTS20_Training_347,0.94957,0.95127,0.96451,0.94888,0.98768,0.97837,0.99986,0.99888,0.99982,1.0,4.69042,1.41421
BraTS20_Training_348,0.92415,0.97101,0.96674,0.88211,0.96452,0.95144,0.99987,0.99979,0.99989,1.0,1.41421,1.41421
BraTS20_Training_349,0.93312,0.96552,0.9715,0.93939,0.98846,0.9734,0.99951,0.99883,0.99963,1.0,1.73205,1.41421
BraTS20_Training_350,0.96525,0.97015,0.97655,0.95861,0.9789,0.97819,0.99988,0.99952,0.99986,1.0,1.0,1.0
BraTS20_Training_351,0.95175,0.95738,0.96314,0.91516,0.96223,0.93396,0.99999,0.99946,0.99999,1.0,1.0,1.0
BraTS20_Training_352,0.91134,0.92723,0.91124,0.97047,0.96012,0.96928,0.99984,0.99935,0.99983,2.44949,63.91166,3.0
BraTS20_Training_353,0.88513,0.93921,0.94263,0.81195,0.91358,0.90112,0.99998,0.99983,0.99998,1.0,1.41421,1.41421
BraTS20_Training_354,0.95566,0.96405,0.97951,0.95449,0.9727,0.97695,0.99971,0.99912,0.9998,1.0,1.41421,1.0
BraTS20_Training_355,0.9534,0.96518,0.97619,0.97068,0.98955,0.98635,0.99955,0.99904,0.99964,1.0,1.73205,1.0
BraTS20_Training_356,0.90814,0.9268,0.95037,0.87709,0.90745,0.9331,0.99988,0.99976,0.99989,1.41421,1.73205,2.0
BraTS20_Training_357,0.82769,0.82851,0.90757,0.82363,0.95681,0.90942,0.99973,0.99764,0.99974,49.13553,65.21503,51.22304
BraTS20_Training_358,0.9541,0.95173,0.95021,0.98107,0.9774,0.95461,0.99989,0.99906,0.9999,1.0,1.41421,1.41421
BraTS20_Training_359,0.94984,0.9528,0.97829,0.96144,0.96491,0.97545,0.99978,0.99942,0.99989,1.0,2.0,1.0
BraTS20_Training_360,0.94928,0.93796,0.97188,0.92809,0.98624,0.96385,0.99987,0.9987,0.99988,1.0,4.89898,1.0
BraTS20_Training_361,0.03175,0.95818,0.00309,0.01773,0.95272,0.00185,1.0,0.99968,0.99993,29.21462,3.0,14.01962
BraTS20_Training_362,0.92486,0.96014,0.9588,0.89585,0.97853,0.9643,0.99982,0.99892,0.99968,1.0,2.23607,1.41421
BraTS20_Training_363,0.93284,0.95112,0.96422,0.92219,0.97984,0.95485,0.99971,0.9989,0.9998,1.0,2.82843,1.41421
BraTS20_Training_364,0.91535,0.94717,0.95783,0.8934,0.94762,0.94114,0.9998,0.99941,0.99986,1.0,1.41421,2.0
